PSATFZBT   -52.87  -21.66   0.00   0.00   7.90  10.60  10.90  19.00  19.00   9.70   1.50   0.20   0.80   1.30   2.40   5.70
PSATPPRA   -52.91  -22.46   0.00   0.10   4.10  10.70   5.90  13.50  21.00  12.00   3.20   0.80   2.00   2.50   4.20   7.80
PSATBTE    -50.80  -13.69   2.30   2.80   4.70  10.80  10.60  10.00  15.00  11.10   7.90   5.10   3.90   5.10   5.90   6.40
PSATARAG   -49.26  -08.27   5.00   5.00   7.40  11.70  13.60  11.10  16.40  12.20  13.80  15.20  13.10  10.90   9.00   9.30
PSATLAJ    -48.37  -09.76   2.90   5.00   6.20  10.50   8.60   7.70  12.30   9.00  11.20  13.50  11.90   7.50   7.80   6.50
PSATPTRL   -47.39  -09.31   6.30   7.90   8.50   9.70   8.00   7.30   9.50   4.90   8.10  11.60   9.80   7.50   8.00   6.70
PSATLJET   -47.48  -07.33  10.50  11.20   6.80   8.60   6.60   6.80   7.00   5.72  10.95  14.60  12.03  10.04  10.70   9.96
PSATUCR    -49.65  -03.83  14.80   8.90   4.90   8.10   8.40   7.70   8.30   5.60  10.20  13.30  11.50  12.80  12.60  12.00
PSATXIVJ   -51.67  -29.07   2.50   0.20   0.70   2.60   1.00   6.30  11.30   5.90   3.20   2.40   0.90   1.50   4.30   3.60
PSATCTAV   -51.39  -29.01   4.40   1.20   0.40   3.00   2.00   4.60  10.60   6.50   3.80   4.00   1.90   2.30   5.70   4.70
PSATDFRC   -53.28  -29.45   0.80   0.00   0.60   0.80   1.70  28.10  13.60   2.80   1.70   0.70   0.30   0.80   1.50   1.50
PSATERNT   -52.54  -28.56   0.70   0.00   1.00   2.40   1.30  14.40  12.70   4.00   2.00   0.90   0.50   1.30   2.70   2.50
PSATREAL   -53.19  -29.02   0.50   0.00   0.80   1.10   1.80  24.40  13.20   4.40   2.10   0.90   0.30   1.20   2.90   2.50
PSATCVCH   -48.87  -25.14   2.50   1.80   1.80  10.40   5.30   4.00   7.20   7.40   6.30   4.40   5.80   4.40   7.10   8.30
PSATSTPL   -49.52  -27.14   5.20   1.10   1.40   4.90   4.10   5.90  10.40   8.50   4.60   4.70   3.80   5.10   6.90   6.80
PSATAMY    -69.12  -12.60   1.60   4.90  11.10   9.00   7.90   6.20  12.30  13.70   8.10   6.20   5.20   6.20   9.30  13.30
PSATDARD   -59.46  -10.16   0.20   1.30   5.00   5.40   3.70   2.50  10.30  14.00  11.20   6.10   5.20   4.50   5.50   6.80
PSATGJR    -65.35  -10.73   0.20   0.50   3.60   5.20   3.90   8.30  12.90   6.80   3.40   1.60   2.00   5.40   7.40  12.50
PSATGUAP   -58.96  -15.12   0.00   0.00   2.70   7.20   3.60   3.60  10.20   5.40   1.00   0.50   0.50   1.10   2.40   4.50
PSATJIRA   -64.65  -09.25   1.20   2.80   7.60   8.60   5.90   4.10  15.40  15.20   8.30   5.50   4.70   7.00   9.60  16.60
PSATPRNC   -64.43  -12.43   0.00   0.10   4.60   6.60   3.20   5.50  14.70   8.30   2.50   1.70   1.70   3.80   5.50   9.10
PSATROND   -60.70  -11.99   0.00   0.30   5.50   6.20   3.40   2.20   9.70   9.70   4.30   2.60   1.90   2.20   3.70   5.00
PSATSAMU   -63.45  -08.75   0.00   2.20   9.60   9.20   4.70   4.50  12.30  21.10  15.30   7.60   6.10   4.60   9.00  10.40
PSATSANT   -63.97  -08.87   0.00   2.90  10.90   9.90   7.60   4.80  12.30  28.43  20.38  10.24   6.46   7.06  10.74  16.70
PSATBSOR   -52.00  -06.74   3.30   3.90   8.60  11.00  16.90  14.20  20.50  14.50  15.10  13.30  12.10  10.40   9.70  10.10
PSATBESP   -51.77  -06.75  15.13  12.61  13.73  14.76  22.00  17.00  17.56   9.64  16.59  21.11  21.11  15.20  16.29  15.05
PSATPIME   -51.91  -03.41   4.70   7.70   4.90   5.60  10.80  10.90  12.80   7.36  13.17  14.23  13.07  13.17  11.52  12.49
PSATCOLI   -55.77  -10.98   0.00   1.40   7.70  10.90  12.70  12.70  19.80  15.40  11.00   5.90   5.00   5.10   6.90   8.10
PSATSAEL   -57.04  -09.19   0.70   2.80   6.80   9.60   9.60  12.20  19.50  15.50  16.10  13.00  10.50   8.70   8.70  10.20
PSATIRAP   -42.57  -16.74   2.20   5.60   3.80   8.70  13.30  10.60   8.90  10.40  14.10  13.50  11.00   9.00   8.10   7.50
PSATITBI   -39.59  -15.97   0.30   1.60   2.20   5.50   8.00   8.10   7.50   6.00   9.40   9.60   9.70   9.90   7.80   6.50
PSATBALB   -59.47  -01.92   1.30   3.20   5.90   6.90   5.40   2.70   2.80   5.10   7.30   8.40  12.20  13.70  15.10  11.90
PSATCUNA   -54.30  -02.82   4.50   4.20   0.80   1.00   4.70   3.90   3.20   7.31  11.12   9.26  11.51  14.72  15.99  16.09
PSATJARI   -52.52  -00.65   7.80   8.60   3.60   3.80   2.90   1.50   1.40   2.80   3.60   3.80   4.80   8.50  10.60   8.40
PSATFGOM   -51.20  000.86  12.60  11.40   4.90   5.40   4.70   3.40   2.30   4.80   5.10   4.30   5.60  10.40  12.80  10.90
PSATUBE    -43.57  -06.75   8.60   8.20   4.80   4.30   3.70   5.10   5.00   3.80   7.90   9.00   8.00   6.20   6.90   7.00
PSATITQ    -54.83  -17.09   0.00   0.00   3.50  13.20  10.00   9.90  14.40   9.80   3.40   0.90   0.90   1.70   2.70   5.10
PSATJAU    -58.73  -15.24   0.00   0.00   2.80   8.20   3.90   3.80  11.50   6.70   1.40   0.60   0.50   1.40   2.60   4.10
PSATMAN    -55.78  -14.87   0.00   0.00   5.70  12.40  13.00   9.90  19.20  13.20   6.00   2.60   2.00   2.90   5.20   6.60
PSATPTP    -54.83  -17.61   0.00   0.00   4.00  13.30  10.40  10.00  15.10   6.80   2.10   0.50   0.60   0.90   2.00   3.80
PSATPDC    -39.00  -12.58   0.20   0.30   0.20   0.40   0.30   0.40   0.50   2.80   3.80   6.00   6.00   5.90   4.40   4.40
PSATSTCL   -40.20  -17.90   0.00   0.40   1.70   6.20   7.10   8.20   8.20   6.90  11.40  11.70  12.70  12.60   9.40   7.30
PSATROSA   -41.72  -20.92   4.60   7.30   3.70   9.60  18.10  10.90   6.40   8.30  15.90  11.00  11.50  10.00   6.40   7.70
PSATCAN    -42.85  -20.21   8.10  10.40   6.20  11.30  19.30  10.60   7.40  12.00  16.60  13.00   9.80   8.80   6.30   8.00
PSATSAC    -42.85  -19.64   6.80  10.20   5.10  12.90  18.50  10.90   8.80  13.40  17.30  12.80  10.10   9.20   7.60   7.30
PSATPES    -42.66  -19.12   2.70   3.90   2.40   7.10  11.90   6.80   5.30   9.10  11.90  10.40   8.80   8.00   6.40   5.70
PSATMAS    -40.92  -19.50   1.30   1.80   3.00  10.20  15.40   9.00   8.40   9.30  16.10  13.10  12.00  10.40   8.40   7.10
PSATSBR    -45.87  -23.37   2.30   5.40   2.00   6.40   8.40   3.60   4.40  14.60  11.20   8.80   5.80   5.30   5.80   6.10
PSATJAG    -46.03  -23.20   0.90   9.50   3.10   9.60   9.60   4.90   7.10  16.10  11.60   7.90   4.60   5.80   7.60   8.70
PSATFUNI   -44.57  -22.53   3.80   8.40   2.80   9.10  10.30   5.50   6.40  13.50  10.30   8.30   5.40   5.50   6.50   6.60
PSATSACE   -43.84  -22.48   7.00  12.10   5.10  10.20  17.20   9.00   7.00  14.90  13.20  13.60   9.30   7.90   7.70   7.40
PSATPIC    -43.54  -21.91  17.50  15.70   8.20  11.90  18.50  10.20   7.60  13.30  15.80  13.40   9.20   8.60   8.30   8.70
PSATSOGI   -43.36  -21.94  17.20  18.90  10.60  13.30  22.20  10.90   7.50  13.10  16.40  15.60  10.50   9.40   8.30   8.90
PSATIPSI   -42.58  -21.84  10.30  10.80   4.70  10.00  17.20   7.80   5.10  12.60  15.30  13.70  10.60   7.70   6.80   7.90
PSATTCLJ   -43.83  -22.69   3.80   5.30   2.10   5.80  10.00   4.10   3.00  13.50  13.40  14.00   8.60   6.40   6.60   6.60
PSATBIGU   -53.67  -25.51   0.20   0.00   4.60   6.40   4.40  22.60  17.30   7.90   3.80   1.90   1.10   1.90   7.20   7.50
